F_NODE,jam_value0,jam_value1,jam_value2,jam_value3,jam_value4,total_jam,start_lat,start_lon,start_name
1830000100,0.0,0.0,0.0,0.0,0.0,0.0,36.20002771256179,127.45066285587228,추부터널
1830000101,0.0,0.0,0.0,0.0,0.0,0.0,36.20108249413104,127.44872204300812,속성변화점
1830001400,5.0,5.0,5.0,5.0,5.0,20.0,36.272483212975395,127.47251444888428,구도교
1830001400,5.0,5.0,5.0,5.0,5.0,20.0,36.272483212975395,127.47251444888428,구도교
1830001401,5.0,5.0,5.0,5.0,5.0,20.0,36.274355025773076,127.46598444918541,낭월다리교
1830001402,10.0,10.0,10.0,10.0,10.0,40.0,36.27588727524967,127.46447032469388,낭월다리교
1830001402,10.0,10.0,10.0,10.0,10.0,40.0,36.27588727524967,127.46447032469388,낭월다리교
1830001403,10.0,10.0,10.0,10.0,10.0,40.0,36.27709640004327,127.46402107497005,기독교대한성결교회산내교회
1830001403,10.0,10.0,10.0,10.0,10.0,40.0,36.27709640004327,127.46402107497005,기독교대한성결교회산내교회
1830001403,10.0,10.0,10.0,10.0,10.0,40.0,36.27709640004327,127.46402107497005,기독교대한성결교회산내교회
1830001800,10.0,10.0,10.0,10.0,15.0,45.0,36.28943046357221,127.46334082549757,대별삼거리
1830001800,10.0,10.0,10.0,10.0,15.0,45.0,36.28943046357221,127.46334082549757,대별삼거리
1830001801,0.0,5.0,0.0,5.0,5.0,15.0,36.285974400149826,127.46525145024646,속성변화점
1830001802,5.0,5.0,5.0,0.0,5.0,15.0,36.283875898135854,127.46618006489064,낭월동673
1830001802,5.0,5.0,5.0,0.0,5.0,15.0,36.283875898135854,127.46618006489064,낭월동673
1830001803,5.0,5.0,5.0,5.0,5.0,20.0,36.280030462057695,127.46826004322676,벧엘복음교회
1830001804,0.0,0.0,0.0,0.0,0.0,0.0,36.27608239982171,127.47031854366087,산내농원
1830001805,0.0,0.0,0.0,0.0,0.0,0.0,36.27366364990645,127.4732619177308,속성변화점
1830001805,0.0,0.0,0.0,0.0,0.0,0.0,36.27366364990645,127.4732619177308,속성변화점
1830001806,10.0,10.0,10.0,10.0,10.0,40.0,36.283804056709535,127.4640176063226,대신택배한밭물류영업소
1830001806,10.0,10.0,10.0,10.0,10.0,40.0,36.283804056709535,127.4640176063226,대신택배한밭물류영업소
1830001806,10.0,10.0,10.0,10.0,10.0,40.0,36.283804056709535,127.4640176063226,대신택배한밭물류영업소
1830001807,15.0,15.0,15.0,20.0,15.0,65.0,36.27969855639929,127.46412282492216,법인세종육가공
1830001807,15.0,15.0,15.0,20.0,15.0,65.0,36.27969855639929,127.46412282492216,법인세종육가공
1830001807,15.0,15.0,15.0,20.0,15.0,65.0,36.27969855639929,127.46412282492216,법인세종육가공
